1986	99	99	99	99	99	99	99	9.5	4.8	2.6	-0.9	-6.9	99			
1987	-14.9	-7.9	-8.1	2.3	5.6	9	13.4	9.8	5.7	3.3	-3.3	-5.9	0.8			
1988	-4.6	-6	-5.5	-0.4	8.1	15	13.1	11.6	8.8	0.2	-4.1	-6	2.5			
1989	-2	-1.9	-0.8	0.9	7	11.7	14	10.5	7.4	2.4	-1.1	-7.8	3.4			
1990	-4.8	-0.5	0.4	2.2	8.9	11.9	13	12.3	6.3	2.5	-3.9	-4.6	3.6			
1991	-6.8	-9.3	-1.2	1.6	6.8	8.3	15.4	12.9	6.9	1.8	-3.3	-3.8	2.4			
1992	-3.3	-3.7	-1.3	0.5	9.6	13.7	12.4	10.1	7.1	-1.2	-4.3	-6.5	2.8			
1993	-4.8	-3.6	-3	2.2	9	9.8	12	9.7	4.7	0.9	-5.7	-9.2	1.8			
1994	-9.3	-12.4	-4.4	2.1	6.2	9.8	17	11.8	6.4	1.1	-2.5	-5.5	1.7			
1995	-6.9	-5.5	-3.2	-0.1	5.6	12.1	13.2	13.5	7.2	4.7	-4.3	-10.3	2.2			
1996	-9.3	-10.7	-5	1.6	4.6	11.1	12.3	13.7	6	3.6	-5.7	-9	1.1			
1997	-7.7	-5.3	-1.9	0.8	5.3	12.3	15.8	15.9	8.1	0.9	-2.7	-5.9	3			
1998	-5.7	-2.9	-4.1	-0.1	7.6	9.8	12	10.6	8.5	0.8	-6.1	-6	2			
1999	-7.1	-6.6	-3.3	3	5.5	10.9	14	11.6	10.5	2.3	0.9	-7.8	2.8			
2000	-4	-5	-2.2	2.1	9.1	10.1	13.3	11.5	7.2	5.3	1.1	-4.1	3.7			
2001	-6.4	-10.7	-6.9	0.5	7.4	10.9	14.1	11.8	7.9	4.5	-1.3	-7.4	2			
2002	-6.4	-4.2	-1.9	3.3	8.7	12.7	13.9	16	9	-1.3	-5.9	-10.3	2.8			
2003	-6.6	-7.7	-1.2	2.2	6.1	12.4	15.5	13.1	7.8	0	-2	-4.5	2.9			
2004	-9.5	-4.8	-1.6	3.4	8.4	10.7	12.4	13.5	8.3	2.4	-3.2	-4.7	2.9			
2005	-2.5	-4.8	-4.4	3.1	5.5	10.6	15.4	12.1	8.2	99	0.4	-5	99			
2006	-6.6	-5.9	-7.7	0.6	6.7	13.3	16.5	14.4	10.8	3.7	-0.7	-0.4	3.7			
2007	-5.5	-8	0.1		 	 	 	 	 	 	 	 	 			
