1886	-11.6	-0.3	1.9	10.9	19.3	21.8	25.5	24.9	20.7	15.5	3.1	-3.9	10.56				
1887	-5.6	-4.4	6.0	13.0	19.1	22.7	25.6	23.1	19.6	11.5	5.2	-2.7	10.99				
1888	-9.4	0.7	1.1	13.5	15.2	22.7	27.0	23.3	18.9	11.7	4.5	2.2	10.54				
1889	-1.7	-3.2	6.6	13.0	16.8	21.3	24.2	23.2	17.7	11.6	2.5	5.5	11.18				
1890	-6.1	-1.4	3.2	13.0	17.0	24.1	27.8	23.1	18.2	12.2	6.9	2.3	11.96				
1891	-0.2	-2.4	0.5	13.7	15.9	21.0	22.6	23.5	21.3	12.5	3.9	3.1	11.22				
1892	-4.2	1.0	3.1	10.6	13.1	22.8	24.8	24.2	21.1	14.2	5.1	-3.9	11.58				
1893	-2.8	-2.6	4.2	11.9	15.9	23.2	25.8	22.9	21.2	13.9	4.0	1.9	11.14				
1894	-2.7	-4.0	8.1	14.0	17.7	22.8	25.0	25.7	20.1	14.3	5.1	1.8	12.33				
1895	-4.7	-4.0	5.1	15.1	18.9	22.2	24.5	24.3	22.9	11.2	4.6	0.6	11.83				
1896	0.2	2.9	2.2	16.0	19.6	22.7	24.8	24.5	17.9	11.8	1.2	4.6	12.03				
1897	-2.2	-0.7	4.9	11.6	17.2	23.3	26.4	23.5	24.0	15.7	4.5	-2.5	12.73				
1898	-0.7	1.2	5.3	11.5	16.7	23.8	25.0	26.2	21.0	11.5	2.7	-3.5	11.81				
1899	-1.7	-8.4	0.3	12.1	19.0	22.9	24.2	26.5	20.5	16.3	9.2	-0.9	11.45				
1900	1.1	-3.8	4.7	13.2	18.6	23.9	26.0	27.5	20.9	16.3	4.1	1.6	12.63				
1901	-1.0	-3.9	4.2	11.0	16.7	24.7	29.8	26.0	19.6	15.3	6.5	-1.3	12.54				
1902	-1.9	-4.7	7.5	12.2	19.8	20.5	24.5	24.7	17.1	14.8	6.7	-3.9	11.66				
1903	-0.7	-4.3	4.9	12.2	16.4	19.6	25.0	23.3	18.6	13.7	4.6	0.5	10.78				
1904	-3.1	-2.3	6.2	9.3	16.5	20.6	23.8	23.3	20.5	14.6	7.5	-1.4	11.45				
1905	-7.7	-7.0	9.7	10.8	16.7	23.3	23.1	26.2	21.5	11.2	7.0	0.7	11.12				
